Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:23:58 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chr19.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chr19.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chr19.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chr19

[+] Loading strelka  2.9.0  on cn2397 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr19/runWorkflow.py
[2021-03-13T05:24:01.139617] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:01.140224] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:01.140850] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:01.141358] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:01.141923] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr19'
[2021-03-13T05:24:01.142585] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:01.143143] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:01.143682] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:01.144176] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] memMb: 386450
[2021-03-13T05:24:01.144689] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr19/workspace/pyflow.data
[2021-03-13T05:24:01.145372] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:01.145989] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:01.146813] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:01.147562] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:01.148734] [cn2397.cit.nih.gov] [12665_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:01.149467] [cn2397.cit.nih.gov] [12665_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:01.158739] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:01.159885] [cn2397.cit.nih.gov] [12665_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:01.161386] [cn2397.cit.nih.gov] [12665_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:01.162217] [cn2397.cit.nih.gov] [12665_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:01.163035] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.164129] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.164952] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.166082] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.166739] [cn2397.cit.nih.gov] [12665_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:01.167737] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.168784] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.169754] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.170617] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.171537] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.173845] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.174882] [cn2397.cit.nih.gov] [12665_1] [TaskRunner:CallGenome+makeTmpDir] Task initiated on local node
[2021-03-13T05:24:01.175669] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.176290] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.176982] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.177857] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.178631] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.179245] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.180179] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.181207] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.182059] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.182810] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.183849] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0009' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.184542] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0009' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.185886] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0010' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.186618] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0010' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.187792] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0011' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.188397] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0011' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.189477] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0012' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.190708] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0012' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.191459] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0013' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.192177] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0013' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.192996] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0014' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.193610] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0014' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.194560] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0015' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.195827] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0015' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.196488] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0016' to sub-workflow 'CallGenome'
[2021-03-13T05:24:01.197251] [cn2397.cit.nih.gov] [12665_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0016' to sub-workflow 'CallGenome'
