Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 16
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	strelka
	1

[Sat Mar 13 00:24:55 2021]
rule strelka:
    input: /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample4_CRL1622_S31.test.chr4.split.bam, /spin1/scratch/tandonm/pipeline_out/tn_test_1/bams/chrom_split/Sample10_ARK1_S37.test.chr4.split.bam
    output: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test.chr4.vcf
    jobid: 0
    wildcards: samples=Sample10_ARK1_S37.test, chroms=chr4

[+] Loading strelka  2.9.0  on cn2419 

Successfully created workflow run script.
To execute the workflow, run the following script and set appropriate options:

/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr4/runWorkflow.py
[2021-03-13T05:24:58.223263] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Initiating pyFlow run
[2021-03-13T05:24:58.224100] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] pyFlowClientWorkflowClass: StrelkaSomaticWorkflow
[2021-03-13T05:24:58.224746] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] pyFlowVersion: 1.1.19
[2021-03-13T05:24:58.225198] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] pythonVersion: 2.7.15.final.0
[2021-03-13T05:24:58.225718] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] WorkingDir: '/spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr4'
[2021-03-13T05:24:58.226216] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] ProcessCmdLine: './runWorkflow.py -m local -j 15'
[2021-03-13T05:24:58.226622] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] mode: local
[2021-03-13T05:24:58.227180] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] nCores: 15
[2021-03-13T05:24:58.228056] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] memMb: 386450
[2021-03-13T05:24:58.228698] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] dataDir: /spin1/scratch/tandonm/pipeline_out/tn_test_1/somatic/SNP_Indels/strelka_out/chrom_split/Sample10_ARK1_S37.test/chr4/workspace/pyflow.data
[2021-03-13T05:24:58.229169] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] isDryRun: False
[2021-03-13T05:24:58.229786] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] isContinue: False
[2021-03-13T05:24:58.230250] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] isForceContinue: True
[2021-03-13T05:24:58.230889] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] [RunParameters] mailTo: ''
[2021-03-13T05:24:58.232377] [cn2419.cit.nih.gov] [44843_1] [TaskRunner:masterWorkflow] Starting task specification for master workflow
[2021-03-13T05:24:58.233145] [cn2419.cit.nih.gov] [44843_1] [StrelkaSomaticWorkflow] Initiating Strelka somatic workflow version: UNKNOWN
[2021-03-13T05:24:58.243851] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding sub-workflow task 'CallGenome' to master workflow
[2021-03-13T05:24:58.245021] [cn2419.cit.nih.gov] [44843_1] [TaskRunner:masterWorkflow] Finished task specification for master workflow
[2021-03-13T05:24:58.246208] [cn2419.cit.nih.gov] [44843_1] [TaskManager] Launching sub-workflow task: 'CallGenome' from master workflow
[2021-03-13T05:24:58.247120] [cn2419.cit.nih.gov] [44843_1] [TaskRunner:CallGenome] Starting task specification for sub-workflow
[2021-03-13T05:24:58.248088] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+makeTmpDir' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.249440] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.250337] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+fixVcfHeader_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.251433] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0000' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.252237] [cn2419.cit.nih.gov] [44843_1] [TaskManager] Launching command task: 'CallGenome+makeTmpDir' from sub-workflow 'CallGenome'
[2021-03-13T05:24:58.253198] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.254314] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0001' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.255251] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.256548] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0002' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.257811] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.259018] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0003' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.261743] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.262421] [cn2419.cit.nih.gov] [44843_1] [TaskRunner:CallGenome+makeTmpDir] Task initiated on local node
[2021-03-13T05:24:58.263277] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0004' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.264575] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.265745] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0005' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.266951] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.268170] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0006' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.269287] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.270025] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0007' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.272450] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.273275] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+compressSegmentOutput_chromId_000_chr1_0008' to sub-workflow 'CallGenome'
[2021-03-13T05:24:58.274220] [cn2419.cit.nih.gov] [44843_1] [WorkflowRunner] Adding command task 'CallGenome+callGenomeSegment_chromId_000_chr1_0009' to sub-workflow 'CallGenome'
